Play,Genre,Year,Playwright,Act & Scene,Character ,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,inrag'd Syphax struk Armes' fate:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,O we were Gods if that we knew euents.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,must honor him As still good Subjects must badd Princes,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"From the most ill-grac'd Hymeneall bedde That euer Iuno frown'd at, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"that no low Appetite Of my sex weaknes,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"now I wish I were no woman, that my armes might speake My hart to Carthage",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,The loathsome staine of Kings Ingratitude From me O much be farre,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,and since this torrent Warres rage admits no Ancor: since the billow Is risen so high we may not hull but yeelde This ample state to stroke of speedy swords,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,"These dainties, this first fruits of nuptials That well might giue excuse for feeble lingrings Shall hinder Massiuissa. ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,"Appetite, Kisses, loues, dalliance and what softer ioyes The Venus of the pleasingst ease can minister",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,Most hard it is for great harts to mistrust.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,I was not borne so small to doubt or feare.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,"my eares are steele, I must not heare thy much inticing voice.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"goe with as high a hand As worth can reare,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"vent thy youthfull heate In field, not beds,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,the fruite of honor Fame,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,Thinke euery honor that doth grace thy sword Trebbles my loue:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"best lights of heauen with thee, Like wonder stand, or fall",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,"Nature made all the rest of thy faire sex As weake essaies, to make thee a patterne As weake essaies, to make thee a patterne",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,"Hees sure vnconquer'd in whom thou dost dwell, Carthage Palladium.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,"See that glorious lampe Whose lifefull presence giueth suddaine flight To phansies, togs, feares, sleepe, and slothfull night - Spreads day vpon the world:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,Fame got with losse of breath is godlike gaine.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"Memory forsake Gelosso, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,When Carthage is So infinitely vile,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"rotte first, wither in aged shame!",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,drawing such a limb from the maine body Of his yet powerfull armie,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"prosperous successe giues blackest actions glory, The means are vnremembred in most story.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"Conquest by bloud is not so sweet as wit,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"Haue here an Engineere long bred for plots, Cal'd an impoisner, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"The onely dew that makes men sprout in Courtes, is vse,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"Such slaues must act commands, and not dispute.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"speake low tho heauen beares A face far from vs, Gods haue most long eares, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,Ioue has a hundred marble marble hands,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"O I, in Poetry or Tragique sceane.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,I feare Gods onely know what Poets mean.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"State shapes are solderd vp, with base, nay faulty Yet necessary functions;",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"some must lie, Some must betray, some murder, and some all, Each hath strong vse, as poyson in all purges",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,Princes ascribe that vile necessity Vnto Heauens wrath,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Carthalo,Male,"Beware to offend greate men and let them liue For tis of empires body the mayne arme,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,Although a stagelike passion & weake heate Full of an empty wording might sute age Know Ile speake strongly truth,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"If treachery in state be seruiceable, Let hangmen doe it:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"Our vow, our faith, our oath, why th'are our selues",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"The Gods assist just hearts, & states that trust,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,Plots before Prouidence are tost like dust.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"Ingratitude, Vile staine of man,  O ouer be most far From Massinissas breast: ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"Fame got with losse of breath, is godlike gaine.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,fair plot: what? blush to breake it?,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,"Your heads still vnder Heauen, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,O very Angel!,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,"Speach makes vs men, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,"and thers no other bond Twixt man and man, but words:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,wee shall hate faith-breakers worse then man-eaters,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,good Gelosso is thy breath not here?,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,Excellent man Carthage & Rome shall fall Before thy fame:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,"The ayre and earth of Carthage owes my body, It is their seruant;",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,show thy vgliest brow O most blacke chaunce: make me a wretched story,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,Opposed trees makes tempests show their power,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Sophonisba,Female,And waues forc'd back by rocks maks Neptune tower Tearelesse,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"A prodegy! let nature run crosse legd Ops goe vpon thy head, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"let Neptune burne, Cold Saturne cracke with heate for now the world, Hath seene a Woman:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"Leape nimble lightning from Ioues ample shield And make at length, an end, the proud hot breath Of thee contemning Greatnesse,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,the huge drought Of sole selfe louing vast Ambition.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,Th'vnnaturall scorching heate of all those lamps Thou reard'st to yeeld a temperate fruitfull heat,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,Relentlesse rage whose hart hath no one drop Of humane pittie,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,"all all loudly cry Thy brand O Ioue, for know the world is dry!",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 1",Gelosso,Male,When worlds doe burne vnseens a Citties flame.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"I cannot bleed too fast, too much For that so great, so iust so royall Carthage",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"My wound smarts not, blouds losse maks me not faint For that lou'de Citty,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"How good that Carthage is: it nourishde me, And when full time gaue me fit strength for loue,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"Know I am Carthage very creature,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,Some common weales may let a noble hart To forward bleeds abroad,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,my harts not pale:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"We bleed for Carthage, Balsum to my woundes,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Asdrubal,Male,"A modest temperance is the life of armes,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Asdrubal,Male,"he [the surgeon] is sent From Carthage to attend your chance of warre,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Asdrubal,Male,"That nothing can secure vs but thy blood: Infuse it in his wound, t'will worke amaine,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Asdrubal,Male,thy God must be thy gain;,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Asdrubal,Male,a statist must not be a man.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"The God-like part of Kings is to forgiue,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"Speake, speake, let terror strike slaues mute.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"Much danger makes great hartes most resolute,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Iugurth,Male,Vnworthy wounds Betray not Massinissa.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,now all my flesh is steele.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Gelosso,Male,High lights scorne not to vew A true old man:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Gelosso,Male,"Spare treacherie, and strike the very Gods.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"I am full Of much complaint, and many passions, The least of which expresd would sad the Gods And strike compassion in most ruthlesse hell",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"Vp, vnmaimd hart, spend all thy greefe and rage Vpon thy foe",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,the field's a soldiers stage On which his action shows: ,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"Downe man, vp hart,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"stoup Ioue and bend thy chin To thy large brest, giue signe th'art pleasd, and iust",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 2",Massinissa,Male,"Sweare, good mens foreheads must not print the dust",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"were it my daughters life That fate hath song to Carthage safetie brings, What deed so red but hath beene done by Kings?",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"he thats a man for men, Ambitious as a God, must like a God Liue cleare from passions,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"Round in's own globe, not to bee claps'd but holds Within him all,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"his hart being of more foldes Then sheeld of Telamon, not to be peirced tho struck",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"The God of wisemen is themselues, not lucke.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Gisco,Male,"It is not don, my heart sunke in my breast,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Gisco,Male,"His virtue mazd me,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Gisco,Male,Some Gods in Kinges that will not let them fall.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"Thart that iust man that hath true touch of blood,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,wee did it but to trye What sense thou hadst of blood:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,the slaue hath all betraide.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"Who thinketh to buy villany with golde, Shall euer find such faith so bought so solde.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"O ye powers forgiue, Through rottenst dung best plants both sprout & liue By blood vines grow.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Hanno,Male,"Tis fit at least you beare greefes outward showe, It is your kinsman bleedes: […] Your hand is in his wounds",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Asdrubal,Male,"For how so ere a Monarke faines his partes, Steale anie thing from Kinges but subiects hartes.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Carthalo,Male,Short wordes shall speake long woes:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Carthalo,Male,"Then looke, as when a Falcon towrs aloft Whole shoales of foule and flocks of lesser birdes, Crouch fearefully and diue some among sedge, Some crepein brakes: so Massinissas sword Brandisht aloft, tossd'bout his shining cask, Made stoope whole squadrons,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 2, S 3",Carthalo,Male,"quick as thought he strikes,",,,,,,,
