Play,Genre,Year,Playwright,Act and Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Colatine,Male,some strange proiect liues This day in Cradle thats but newly borne.,mental faculty & state,life,time,domestic,life's cycle,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Valerius,Male,"heeres a giddie world, it Reeles, it hath got the staggers, ",mental faculty & state,nature,movement,medicine,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Valerius,Male,"the common-wealth is sicke of an ague, of which nothing can cure her but some violent and suddaine affrightment.",politics,medicine,women,violence,emotions,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Valerius,Male,"and [the queen] longes to be brought to bed of a Kingdome, ",politics,emotions,sexuality,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"a generall concourse of wise-men, tw'as neuer seene since the first Chaos.",politics,mental faculty & state,time,sensations,religion,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"you [the faction] renowned Deities, ",politics,recognition,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"laugh Democritus, but haue you nothing to say to Madmen?",derision,historical,privation,language,mental faculty & state,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"a few colde words first, ",temperature,language,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"The state is full of Dropsie, and swolne bigge With windy vapors, ",politics,medicine,size,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"[the state] which my sword must pierce, To purge th'infected blood: ",politics,weapons,violence,medicine,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Brutus,Male,"bred by the pride Of these infested blouds,",education,character traits & nature,medicine,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Valerius,Male,"embrace his faction,",affection,politics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Words worth an Empire.,language,economics,politics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Servius,Male,"Strumpet, no childe of mine.",sexuality,familial,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"Dotard, and not my father.",mental faculty & state,familial,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"our awe is builded Vpon this royall base, and slaughtered body Of a dead King; ",religion,architecture ,politics,violence,anatomy,death,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"My fathers death giues me a second life,",familial,death,life,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,my birth was seruitud,reproduction,social relations,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"this new breath of reigne is large and free, ",breathing,politics,size,social relations,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Welcome my second life of Soueraintie.,greeting,life,politics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"should my Lucrece [daughter], Be of this pride, thefe handes should sacrifice Her blood vnto the Gods that dwell belowe,",familial,character traits & nature,anatomy,violence,religion,accommodation,spatial
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"The abortiue brat should not out liue my spleene,",reproduction,familial,life,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"Teare off the crowne, that yet empales the Temples Of our vsurping Father",violence,politics,anatomy,familial,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"And in the face of his [father's] yet bleeding woundes, Lets vs receiue our honours.",anatomy,familial,injuries,recognition,social status,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"The same breath Giues our state life, that was the Vsurpers death.",breathing,politics,life,death,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Heere then by heauens hand we inuest our selues:,religion,anatomy,politics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,Great Tarquins [king] life is in our hearts desirde.,politics,life,anatomy,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"Shall with our dreadles hands, our hearts commaund,",emotions,anatomy,commands,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,Our selues are vassailes to the Roman state.,social status,politics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,In whose submission our young glorie growes To his ripe height: ,social relations,life's cycle,recognition,agriculture,spatial,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,strengthen with your loues our Infant raigne.,assistance,devotion,life's cycle,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,whilst Iustice keepes thy Sword & thou thy Throane.,judiciary,preservation,weapons,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,Your hearts though freely profferd we entreate.,anatomy,social relations,devotion,language,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"with his base confederates strewe the streets, That in disgrace, of his vsurped pride,",politics,urban,etiquette,chracater traits & nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"For mounted like a Queene, twould doe me good To wash my Coach-nailes in my fathers blood.",physical activities,politics,feelings,cleaning,movement,familial,anatomy
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,A Kings encrease growes by a Kings decay.,politics,increase,agriculture,consumption,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Those Giants that wagde war against the Gods, For which ore-whelmed Mountaines hurld by Ioue, To scatter them, and giue timelesse Graues, Was not more cruell then this butcherie.",myth,violence,religion,nature,time,death,character traits & nature
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,did not this shee parracide add to her fathers wounds:,women,violence,increase,familial,injuries,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Did not this Monster, this infernate hagge, ",deformities,religion,mystical,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"The affrighted Sunne, at this abhorred obiect [corpse], Put on a maske of blood, and yet she blusht not,",emotions,nature,death,theatre,anatomy,facial expression,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,[Ioue] winke at parracides?,religion,concealment,violence,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"with that hand [Jove's] That flings the trisalitie thunder,",anatomy,religion,weapons,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,[Jove] let the pride Of these our Irreligious monarkisers Be crown'd in blood: ,religion,character traits & nature,politics,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,hee hath wit enough to keepe his head on his shoulders.,mental faculty & state,preservation,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,fooles and Mad-men are no rubes in the way of Vsurpers: ,mental faculty & state,hindrance,spatial,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"the firmament can brook but one Sunne, and for my part I must not shine: ",nature,suffering,quantities,theatre,light,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"I had rather liue an obscure black, then appeare a faire white to be shot at, ",life,social relations,ethnicity,appearance,hunting,colors,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"had Servius [former king] been a shrub, the winde had not shooke him, ",politics,nature,violence,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"is troubled with the common disease of all new married men, hee's sick of the wife, ",suffering,medicine,matrimony,men,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"The time I hope for, cannot be conscribde, Within so short a limit,",time,emotions,military,size,spatial,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"Rome and I Are not so happy, ",politics,emotions,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Heauen spares his rod so long?,religion,privation,violence,time,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"the fruite of pride is yet but greene, Not mellow, though it grows apace, it comes not To his ful height: ",agriculture,character traits & nature,colors,speed,spatial,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Pride when thy fruite is ripe must rot and fall.,character traits & nature,agriculture,consumption,destruction,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"His soaring high make vs to flag our winges, And fly close by the earth, ",physical activities,spatial,consumption,animals,nature,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"his golden feathers, Are of such Vastnes that they spread like sailes, And so become vs that we haue not ayre, ",economics,animals,spatial,nautical,etiquette,nature,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"[the air] to raise our plumes, to taste the pleasures of our owne Elements.",nature,physical activities,animals,food,feelings,character traits & nature,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"We are one harte, our thoughts & our desires are sutable.",quantities,anatomy,mental faculty & state,emotions,etiquette,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"Since he was King he beares him like a God,",politics,etiquette,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"His wife like Pallas or the wife of Joue, Will not be parlied without sacrifice, And homage sole due to the deities.",matrimony,religion,language,devotion,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"to heare our tongus so much, ",sensations,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"in affaires domesticke we are but shouts, And fellowes of no partes, viols vnstrung, Our notes too harsh to strike in princes eares,",politics,sounds,social relations,theatre,music,anatomy,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"home breedes safety, ",domestic,reproduction,danger,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"Dangers begot in Court,",danger,reproduction,politics,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,VVhere industrie is scornd lets welcome sloth.,labor,derision,greetings,character traits & nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,How does he taste these times?,food,time,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"He has vsurpt a stranger garbe of humour, ",politics,social relations,clothes,mental faculty & state,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"can his eies forbeare, In this strange state to shed a passionate teare,",anatomy,suffering,mental faculty & state,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"Nay can his thought shape ought but melancholy To see these dangerous passages of state,",mental faculty & state,transformation,emotions,sensations,danger,spatial,politics
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"giuen vp the Court And weand himselfe from the kings consistory In which his sweet harmonious tongue grew harsh, […] now hee's all musicall.",privation,politics,food,music,sounds,anatomy,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"And whilest the king his wilfull edicts makes, In which nones tongue is powerfull saue the kings, Hee's in a corner, relishing strange aires.",politics,judiciary,anatomy,spatial,food,mental faculty & state,nature
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"he's fro? a toward hopefull gentleman Transeshapt to a meere balleter,",emotions,social status,transformation,art,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"His faire words so bewitch my delight, That I dote on his sight.",language,mystical,feelings,mental faculty & state,appearance,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"new desires embraceing,",emotions,affection,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"Tune out his age in songs and Cansonets, ",music,life's cycle,art,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,Whose voyce should thunder conusell in the eares Of Tarquin [king],sounds,nature,assistance ,anatomy,politics,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"What that proud woman Tullia [queen] is, twill put thee Quite out of tune.",character traits & nature,politics,music,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"It [love] is the fountaine and the well, Where pleasure and repentance dwell,",emotions,nature,sexuality,feelings,accommodation,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"It [love] is perhaps the sansing bell, That rings all in to heauen or hell:",emotions,music,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,[love] A thing that creepes and cannot goe [leave]:,emotions,movement,privation,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"[love] A prise that passeth to and fro,",emotions,games & sport,movement,spatial,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,"thy passionate eyes lament with mine,",emotions,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"Lament the Roman land,",emotions,politics,geography,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"This musick mads me,",music,mental faculty & state,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,To heare him sing drawes riuers from his eyes.,sensations,music,labor,nature,anatomy,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"That we may tast of louers blisse,",food,emotions,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Scevola,Male,"Ile laugh at time, till it will change our Fate.",derision,time,transformation,mystical,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"Thy heart mournes in thee, though thy visage smile,",anatomy,emotions,appearance,facial expression,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"humors Are but put on for safety, and to arme them Against the pride of Tarquin",mental faculty & state,clothes,danger,weapons,character traits & nature,politics,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"this [danger] makes me lose my houres At home with Lucrece [wife], ",danger,privation,time,domestic,matrimony,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"Fortune I embrace thee, ",mystical,affection,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"what is MALT, M much, A ale, L little, T thrift, ",food,language,quantities,economics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Priest,Male,"with celestiall fire Shot from thy [god's] beames, crowne our desire,",religion,fire,movement,light,politics,emotions,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Priest,Male,Our hearts with inflammations burne,anatomy,medicine,fire,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Priest,Male,Ennobled brest To thy safe guiding?,character traits & nature,anatomy,danger,eduction,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Priest,Male,"Is it with heauens applause decreed, VVhen Tarquins [king] soule from earth is freed",religion,recognition,judiciary,politics,nature,social relations,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Oracle hast thou lost thy tongue?,religion,privation,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Priest,Male,"by the heauens doome, Phoebus thy thoughts no longer smother.",religion,destruction,mental faculty & state,violence,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Mother earth to thee an humble kisse,familial,nature,character traits & nature,affection,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"The bloud of the slaughtred sacrifice made this flore as slippry as the place where Tarquin [king] treades, ",anatomy,violence,religion,architecture,danger,politics,movement
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,tis [the flore] glassy and as smoth as yce: ,architecture,material,cleaning,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,they [oracles] speake still in cloudes,religion,language,nature,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Aruns,Male,"If a kisse will make me a king, Tullia [mother], I will spring to thee [mother], though through the bloud of Sextus [brother].",affection,transformation,politics,familial,movement,spatial,anatomy
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,I shall shine as bright in Rome as Apollo himselfe in his temple at Delphos.,light,politics,religion,architecture,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,"Now Phoebus let thy sweet tun'd organs sound, VVhose spherelike musicke must direct our feet Vpon the marble pauement",religion,music,astrology,education,anatomy,materials,urban
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,your eares Be deafe vnto our counsels.,anatomy,deformities,assistance ,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"thou [wife] art our Oracle,",matrimony,religion,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"weele teach to feare,",education,emotions,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"[the] rich our pray,",economics,hunting,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Kings are as Gods,politics,religion,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,"Kings that are proud, yet would secure their owne, By loue abroad, shall purchase feare at home.",politics,character traits & nature,danger,emotions,geography,economics,domestic
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"how dare treason looke Vs in the face, hauing issue?",resistance,politics,sensations,anatomy,familial,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,barren princes Breed danger ,reproduction,politics,danger,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,their [princes] clame dies with them,politics,death,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,"But when in topping, on three Tarquins [princes] more, Like Hydraes heads grow to reuenge his [father's] death, ",politics,quantities,myth,anatomy,violence,familial,death
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,It [having heirs] terrifies blacke treason.,familial,emotions,colors,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Aruns,Male,Being eldest in my birth i'le not be yongest In zeale to Tullia [mother].,familial,reproduction,life's cycle,devotion,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Aruns,Male,"thinke this kisse to be a crowne, thus wold we tug fort.",affection,politics,violence,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"they tug for shadowes,",violence,darkness,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Aruns,Male,"Through armed gates, and thousand swords il'e breake To shew my duty,",weapons,architecture ,quantities,violence,devotion,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Aruns,Male, let my valour speake.,character traits & nature,language,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tarquin,Male,Curb in the proud boyes fury,equestrian,character traits & nature,life's cycle,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Sextus,Male,how great's my heart!,character traits & nature,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,hate borne from loue.,emotions,reproduction,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,weare the sacred tincture of his bloud Vpon the seruile shoe,clothes,religion,colors,anatomy,social relations,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,lest with our surpast eies of wrath & fury We looke into the humour;,anatomy,emotions,sensations,joviality,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Tullia,Female,Euen in thy last reproofe of our proceedings Thou hadst pronounc't thy death.,language,politics,death,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"let Tullia [queen] either get closer eares, ",politics,spatial,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,or get for Brutus [messanger] a stricter tongue.,social status,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"Had I as many soules as drops of bloud In this brancht vaines,",quantities,religion,anatomy,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,"as many liues as starres Stucke in yond azare roofe, ",quantities,life,nature,adhesion,spatial,colors,architecture
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,were to dy More deathes then I see wasted weary minuts,death,quantities,sensations,consumption,physical attributes,time,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,To purchase freedome to this bondag'd Rome.,economics,social relations,incarceration,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Heratius,Male,virgin conqueresse weare shackles in my sight.,sexuality,military,incarceration,sensations,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucretius,Male,Oh would my teares would rid great Rome of these prodigious feares.,anatomy,privation,politics,emotions,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,"some violent bustling to breake through this thorny seruitude, ",violence,movement,spatial,nature,social status,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,Romes still sad.,politics,emotions,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"The kings feare like a shadow dogs you still, Nor can you walke without it",politics,emotions,darkness,animals,movement,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,lets all weare out our houres In harmles sports,clothes,time,games & sport,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"In dangers bloudy iawes where being humerous, Cloudy and curiously inquisitiue Into the kings proceedings, there armde feare May search into vs, ",danger,anatomy,joviality,politics,weapons,emotions,discovering
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,"let vs stay the time, Till heauen haue made them ripe for iust reuenge,",preservation,time,religion,agriculture,judiciary,violence,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Colatine,Male,And then strike home,violence,domestic,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"Oh the cherry lips of Nelly [woman], They are red and soft as ielly,",food,anatomy,women,color,sexuality,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,"Oh that wench is pestilent holy,",women,medicine,religion,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Valerius,Male,But her [woman] cheekes hang like a satchell.,women,anatomy,clothes,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,to sing with our heads on ,music,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Brutus,Male,then weepe with our heads off,emotions,anatomy,violence,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,"you must afford an eare As well as he, to what we ha to say.",economics,anatomy,language,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Clown,Male,"to say that euer I flung any sheepes eies in her face,",time,courting,animals,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,,Lucrece,Female,shadow of incontinence,darkness,sexuality,,,,,
