(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"As cannons overcharged with double cracks, so they Doubly redoubled strokes","As cannons overcharged with double cracks, so they Doubly redoubled strokes",0 1 1 0 1 1 0 0 1 1 1,weapons,quantities,violence,,,,
to bathe in reeking wounds,to bathe in reeking wounds,0 1 0 0 1,cleaning,injuries,,,,,
memorise another Golgotha,memorise another Golgotha,1 0 1,mental faculty & state,religion,,,,,
my gashes cry for help.,my gashes cry for help.,0 1 1 0 1,injuries,sounds,assistance,,,,
thy words become thee as thy wounds; They smack of honour both. ,thy words become thee as thy wounds They smack of honour both. ,0 1 1 0 0 0 1 0 1 0 1 0,language,etiquette,injuries,food,character traits & nature,,
Where the Norweyan banners flout the sky and fan our people [soldiers] cold.,Where the Norweyan banners flout the sky and fan our people [soldiers] cold.,0 0 1 1 1 0 1 0 1 0 1 1 1,politics,derision,nature,military,temperature,,
"Till that Bellona's bridegroom, lapp'd in proof, Confronted him ","Till that Bellona's bridegroom, lapp'd in proof, Confronted him ",0 0 1 1 1 0 1 1 0,myth,matrimony,weapons & armor,violence,,,
shall deceive Our bosom interest,shall deceive Our bosom interest,0 1 0 1 1,deception,anatomy,politics,,,,
"like a rat without a tail, I'll do","like a rat without a tail, I'll do",0 0 1 0 0 1 0 1,animals,anatomy,physical activities,,,,
I will drain him dry as hay:,I will drain him dry as hay,0 0 1 0 0 0 1,sexuality,nature,,,,,
Sleep shall neither night nor day Hang upon his penthouse lid;,Sleep shall neither night nor day Hang upon his penthouse lid,1 0 0 1 0 1 1 0 0 1 1,sleep,time,adhesion,architecture,anatomy,,
the charm's wound up.,the charm's wound up.,0 1 1 1,mystical,music,,,,,
"What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? ","What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? ",0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0,consumption,clothes,appearance,accomodation,nature,,
"If you [witches] can look into the seeds of time, And say which grain will grow and which will not,","If you [witches] can look into the seeds of time, And say which grain will grow and which will not,",0 1 1 0 1 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0,mystical,sensations,agriculture,time,,,
"The earth hath bubbles, as the water has, And these [witches] are of them. ","The earth hath bubbles, as the water has, And these [witches] are of them. ",0 1 0 1 0 0 1 0 0 1 1 0 0 0,nature,mystical,,,,,
what seem'd corporal melted As breath into the wind. ,what seem'd corporal melted As breath into the wind. ,0 0 1 1 0 1 0 0 1,anatomy,consumption,breathing,nature,,,
have we eaten on the insane root That takes the reason prisoner?,have we eaten on the insane root That takes the reason prisoner?,0 0 1 0 0 1 1 0 0 0 1 1,food,medicine,mental faculty & state,incarceration,,,
His wonders and his praises do contend Which should be thine [military general] or his [the king's]:,His wonders and his praises do contend Which should be thine [military general] or his [the king's],0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 1,religion,recognition,violence,military,politics,,
"every one did bear Thy praises in his kingdom's great defence, And [pour'd them down] before him.","every one did bear Thy praises in his kingdom's great defence, And [pour'd them down] before him.",0 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 0,labor,recognition,politics,military,,,
The thane of Cawdor lives: why do you dress me In borrow'd robes?,The thane of Cawdor lives why do you dress me In borrow'd robes?,0 1 0 0 1 0 0 0 1 0 0 1 1,social status,life,clothes,economics,,,
Thanks for your pains.,Thanks for your pains.,1 0 0 1,recognition,suffering,,,,,
"That [prophesy], trusted home, Might yet enkindle you unto the crown,","That [prophesy], trusted home, Might yet enkindle you unto the crown,",1 1 1 1 0 0 1 0 0 0 1,mystical,mental faculty & state,domestic,fire,politics,,
"to win us to our harm, The instruments of darkness tell us truths,","to win us to our harm, The instruments of darkness tell us truths,",0 1 0 0 0 1 0 1 0 1 1 0 1,deception,violence,social relations,darkness,language,,
"Two truths are told, As happy prologues to the swelling act Of the imperial theme.","Two truths are told, As happy prologues to the swelling act Of the imperial theme.",0 1 0 1 0 1 1 0 0 1 1 0 0 1 1,language,emotions,theatre,reproduction,politics,,
"I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature","I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature",0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1,social relations,mental faculty & state,anatomy,movement,feelings,violence,nature
"My thought, whose murder yet is but fantastical, Shakes so my single state of man [self]","My thought, whose murder yet is but fantastical, Shakes so my single state of man [self]",0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1,mental faculty & state,violence,politics,character traits & nature,,,
"function Is smother'd in surmise,","function Is smother'd in surmise,",1 0 1 0 1,physical activities,violence,mental faculty & state,,,,
"New honours come upon him, Like our strange garments, cleave not to their mould, But with the aid of use.","New honours come upon him, Like our strange garments, cleave not to their mould, But with the aid of use.",0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1,social status,mental faculty & state,clothes,adhesion,appearance,assistance,consumption
your pains Are register'd where every day I turn The leaf to read them. ,your pains Are register'd where every day I turn The leaf to read them. ,0 1 0 1 0 1 1 0 0 0 1 0 1 1,suffering,language,time,,,,
let us speak Our free hearts each to other.,let us speak Our free hearts each to other.,0 0 1 0 1 1 0 0 0,language,social relations,anatomy,,,,
nothing in his life Became him like the leaving [dying] it; ,nothing in his life Became him like the leaving [dying] it ,1 0 0 1 1 0 0 0 1 1 0,privation,life,etiquette,death,,,
"he died As one that had been studied in his death, To throw away the dearest thing he owed, As 'twere a careless trifle.","he died As one that had been studied in his death, To throw away the dearest thing he owed, As 'twere a careless trifle.",0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 1,death,education,privation,economics,,,
The sin of my ingratitude even now Was heavy on me: ,The sin of my ingratitude even now Was heavy on me ,0 1 0 0 1 0 0 0 1 0 0,religion,recognition,weight,,,,
swiftest wing of recompense is slow To overtake thee.,swiftest wing of recompense is slow To overtake thee.,1 1 0 1 0 1 0 1 0,speed,animals,economics,hunting,,,
"The service and the loyalty I owe, In doing it, pays itself. ","The service and the loyalty I owe, In doing it, pays itself. ",0 1 0 0 1 0 1 0 0 0 1 0,devotion,economics,,,,,
"our duties Are to your throne and state, children and servants, Which [do but what they should], by doing everything Safe toward your love and honour.","our duties Are to your throne and state, children and servants, Which [do but what they should], by doing everything Safe toward your love and honour.",0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 0 0 0 0 0 1 0 1,devotion,politics,familial,social status,etiquette,emotions,recognition
"I [king] have begun to plant thee, and will labour To make thee full of growing.","I [king] have begun to plant thee, and will labour To make thee full of growing.",1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1,agriculture,labor,politics,,,,
let me [king] enfold thee And hold thee to my heart. ,let me [king] enfold thee And hold thee to my heart. ,0 0 1 1 0 0 1 0 0 0 1,politics,affection,anatomy,,,,
"There [king's heart] if I grow, The harvest is your own.","There [king's heart] if I grow, The harvest is your own.",1 1 1 0 0 1 0 1 0 0 0,politics,anatomy,agriculture,,,,
"My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow","My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow",0 0 1 1 0 0 1 1 1 0 0 1 0 1,emotions,joviality,concealment,anatomy,,,
"But signs of nobleness, like stars, shall shine On all deservers.","But signs of nobleness, like stars, shall shine On all deservers.",0 1 0 1 0 1 0 1 0 0 1,language,character traits & nature,nature,light,recognition,,
"The Prince of Cumberland! that is a step On which I must fall down, or else o'erleap, for in my way it lies","The Prince of Cumberland! that is a step On which I must fall down, or else o'erleap, for in my way it lies",0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0,politics,hindrance,physical activities,spatial,,,
"Stars, hide your fires;","Stars, hide your fires",1 1 0 1,nature,concealment,fire,,,,
Let not light see my black and deep desires:,Let not light see my black and deep desires,1 1 1 1 0 1 0 1 1,resistance,light,sensations,colors,spatial,emotions,
"The eye wink at the hand; yet let that be, Which the eye fears, when it [mruder] is done, to see.","The eye wink at the hand yet let that be, Which the eye fears, when it [mruder] is done, to see.",0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1,anatomy,concealment,emotions,violence,sensations,,
"he is full so valiant, And in his commendations I am fed; It is a banquet to me.","he is full so valiant, And in his commendations I am fed It is a banquet to me.",0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0,character traits & nature,recognition,food,,,,
"I burned in desire to question them further,","I burned in desire to question them further,",0 1 0 1 0 1 0 0,fire,emotions,language,,,,
"greatness is promised thee. Lay it to thy heart,","greatness is promised thee. Lay it to thy heart,",1 0 1 0 0 0 0 0 1,social status,language,anatomy,,,,
thy nature; It is too full o' the milk of human kindness To catch the nearest way,thy nature It is too full o' the milk of human kindness To catch the nearest way,0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1,character traits & nature,food,humanity,hunting,spatial,,
"wouldst not play false, And yet wouldst wrongly win:","wouldst not play false, And yet wouldst wrongly win",0 0 1 1 0 0 0 1 1,games & sport,deception,ethics,,,,
"that I may pour my spirits in thine ear,","that I may pour my spirits in thine ear,",0 0 0 1 0 1 0 0 1,medicine,mystical,anatomy,,,,
And chastise with the valour of my tongue All that impedes thee from the golden round,And chastise with the valour of my tongue All that impedes thee from the golden round,0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1,ethics,character traits & nature,anatomy,hindrance,politics,,
"almost dead for breath, had scarcely more Than would make up his message.","almost dead for breath, had scarcely more Than would make up his message.",0 1 0 1 0 1 0 0 0 0 0 0 1,death,breathing,quantities,language,,,
The raven himself is hoarse That croaks the fatal entrance,The raven himself is hoarse That croaks the fatal entrance,0 1 0 0 1 0 1 0 1 1,animals,sounds,death,movement,,,
"unsex me here, And fill me from the crown to the toe top-full Of direst cruelty!","unsex me here, And fill me from the crown to the toe top full Of direst cruelty!",1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1,sexuality,anatomy,character traits & nature,,,,
"my blood; Stop up the access and passage to remorse, ","my blood Stop up the access and passage to remorse, ",0 1 1 1 0 1 0 1 0 1,anatomy,hindrance,spatial,feelings,,,
"That no compunctious visitings of nature Shake my fell purpose, ","That no compunctious visitings of nature Shake my fell purpose, ",0 0 1 1 0 1 1 0 1 1,ethics,social relations,nature,violence,mental faculty & state,,
"you murdering ministers, Wherever, in your sightless substances, You wait on nature's mischief.","you murdering ministers, Wherever, in your sightless substances, You wait on nature's mischief.",0 1 1 0 0 0 1 1 0 1 0 1 1,violence,politics,sensations,materials,social relations,nature,ethics
"Come, thick night, And pall thee in the dunnest smoke of hell, ","Come, thick night, And pall thee in the dunnest smoke of hell, ",0 0 1 0 1 0 0 0 0 1 0 1,darkness,clothes,fire,religion,,,
"That my keen knife see not the wound it makes,","That my keen knife see not the wound it makes,",0 0 0 1 1 0 0 1 0 0,weapons,sensations,injuries,,,,
"Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!'","Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!'",0 1 1 0 0 1 0 0 1 0 1 1 0,religion,sensations,sleep,darkness,sounds,hindrance,
"Thy letters have transported me beyond This ignorant present, ","Thy letters have transported me beyond This ignorant present, ",0 1 0 1 0 1 0 1 1,language,movement,spatial,mental faculty & state,time,,
I feel now The future in the instant.,I feel now The future in the instant.,0 1 0 0 1 0 0 1,feelings,time,,,,,
never Shall sun that morrow see!,never Shall sun that morrow see!,1 0 1 0 1 1,time,nature,sensations,,,,
"Your face, my thane, is as a book where men May read [strange matters]. ","Your face, my thane, is as a book where men May read [strange matters]. ",0 1 0 0 0 0 0 1 0 0 0 1 1 1,anatomy,language,mental faculty & state,,,,
"To beguile the time, Look like the time; ","To beguile the time, Look like the time ",0 1 0 1 1 0 0 1,deception,time,appearance,,,,
"welcome in your eye, Your hand, your tongue: ","welcome in your eye, Your hand, your tongue ",1 0 0 1 0 1 0 1,ettiquette,anatomy,,,,,
"look like the innocent flower, But be the serpent under't. ","look like the innocent flower, But be the serpent under't. ",1 0 0 1 1 0 0 0 1 1,appearance,character traits & nature,nature,animals,spatial,,
"This guest of summer, The temple-haunting martlet, ","This guest of summer, The temple haunting martlet, ",0 1 0 1 0 1 1 1,social relations,nature,religion,accomodation,animals,,
"[the martlet] does approve, By his loved mansionry, that the heaven's breath Smells wooingly here: ","[the martlet] does approve, By his loved mansionry, that the heaven's breath Smells wooingly here ",1 1 0 1 0 0 0 1 0 0 1 1 1 0 0,animals,recognition,architecture,religion,breathing,sensations,
"The love that follows us sometime is our trouble, Which still we thank as love. ","The love that follows us sometime is our trouble, Which still we thank as love. ",0 1 0 1 0 1 0 0 1 0 0 0 1 0 1,emotions,movement,time,suffering,recognition,,
"bid God yield us for your pains, And thank us for your trouble.","bid God yield us for your pains, And thank us for your trouble.",0 1 1 0 0 0 1 0 1 0 0 0 1,religion,economics,suffering,recognition,,,
"All our service [to the king], In every point twice done and then done double Were poor and single business to contend Against those honours ","All our service [to the king], In every point twice done and then done double Were poor and single business to contend Against those honours ",0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1,devotion,politics,quantities,labor,games & sports,recognition,
"wherewith Your majesty loads our house: for those [honours] of old, And the late dignities heap'd up to them, We rest your hermits.","wherewith Your majesty loads our house for those [honours] of old, And the late dignities heap'd up to them, We rest your hermits.",0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1,politics,economics,architecture,social status,recognition,religion,
We coursed him at the heels,We coursed him at the heels,0 1 0 0 0 1,hunting,anatomy,,,,,
"his great love, sharp as his spur, hath holp him","his great love, sharp as his spur, hath holp him",0 0 1 0 0 0 1 0 1 0,emotions,equestiran,assistance,,,,
"if the assassination Could trammel up the consequence, and catch with his surcease, success","if the assassination Could trammel up the consequence, and catch with his surcease, success",0 0 1 0 1 1 0 1 0 1 0 0 1 1,violence,hunting,judiciary,death,politics,,
"upon this bank and shoal of time, We'd jump the life to come. ","upon this bank and shoal of time, We'd jump the life to come. ",0 0 1 1 1 1 1 0 1 0 1 1 1,nature,time,physical activities,religion,,,
"teach Bloody instructions, which, being taught, return To plague the inventor:","teach Bloody instructions, which, being taught, return To plague the inventor",1 1 1 0 0 1 0 0 1 0 1,education,violence,medicine,discovering,,,
this even-handed justice Commends the ingredients of our poison'd chalice To our own lips. ,this even handed justice Commends the ingredients of our poison'd chalice To our own lips. ,0 1 1 1 0 0 1 0 0 1 1 0 0 0 1,anatomy,judiciary,medicine,materials,religion,,
"his virtues Will plead like angels, trumpet-tongued, ","his virtues Will plead like angels, trumpet tongued, ",0 1 0 1 0 1 1 1,character traits & nature,judiciary,religion,music,anatomy,,
"pity, like a naked new-born babe, Striding the blast,","pity, like a naked new born babe, Striding the blast,",1 0 0 1 1 1 1 1 0 1,emotions,clothes,life's cycle,movement,nature,,
"or [pity] heaven's cherubim, horsed Upon the sightless couriers of the air, ","or [pity] heaven's cherubim, horsed Upon the sightless couriers of the air, ",0 1 1 1 1 0 0 1 1 0 0 1,emotions,religion,equestrian,appearance,nature,,
"[pity] Shall blow the horrid deed [murder] in every eye, That tears shall drown the wind.","[pity] Shall blow the horrid deed [murder] in every eye, That tears shall drown the wind.",1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1,emotions,breathing,violence,anatomy,nature,,
"I have no spur To prick the sides of my intent, but only Vaulting ambition, which o'erleaps itself And falls on the other.","I have no spur To prick the sides of my intent, but only Vaulting ambition, which o'erleaps itself And falls on the other.",0 0 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0,equestrian,mental faculty & state,character traits & nature,physical activities,,,
"I have bought Golden opinions from all sorts of people, Which would be worn now in their newest gloss","I have bought Golden opinions from all sorts of people, Which would be worn now in their newest gloss",0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1,economics,recognition,clothes,light,,,
Was the hope drunk Wherein you dress'd yourself?,Was the hope drunk Wherein you dress'd yourself?,0 0 1 1 0 0 1 0,emotions,mental faculty & state,clothes,,,,
"hath it [hope] slept since? And wakes it now, to look so green and pale At what it did so freely?","hath it [hope] slept since? And wakes it now, to look so green and pale At what it did so freely?",0 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1,emotions,sleep,sensations,colors,medicine,physical activities,social relations
"Wouldst thou have that [the crown] Which thou esteem'st the ornament of life, And live a coward in thine own esteem,","Wouldst thou have that [the crown] Which thou esteem'st the ornament of life, And live a coward in thine own esteem,",0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 0 1,politics,mental faculty & state,art,life,character traits & nature,,
"['I dare not'] wait upon 'I would,' Like the poor cat i' the adage","['I dare not'] wait upon 'I would,' Like the poor cat i' the adage",1 1 1 1 0 1 1 0 0 0 1 0 0 1,emotions,social relations,mental faculty & state,animals,language,,
"What beast was't, then, That made you break this enterprise [violent plan] to me?","What beast was't, then, That made you break this enterprise [violent plan] to me?",0 1 0 0 0 1 0 1 0 1 1 1 0 0,animals,violence,language,violence,,,
"screw your courage to the sticking-place,","screw your courage to the sticking place,",1 0 1 0 0 1 1,violecnce,character traits & nature,spatial,,,,
"with wine and wassail so convince, That memory, the warder of the brain, Shall be a fume, and the receipt of reason A limbeck only.","with wine and wassail so convince, That memory, the warder of the brain, Shall be a fume, and the receipt of reason A limbeck only.",0 1 0 1 0 1 0 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0,food,mental faculty & state,incarceration,anatomy,alchemy,,
"in swinish sleep Their drenched natures lie as in a death,","in swinish sleep Their drenched natures lie as in a death,",0 1 1 0 1 1 1 0 0 0 1,animals,sleep,food,character traits & nature,death,,
mock the time with fairest show:,mock the time with fairest show,1 0 1 0 1 1,deception,time,appearance,,,,
False face must hide what the false heart doth know.,False face must hide what the false heart doth know.,1 1 0 1 0 0 1 1 0 1,deception,anatomy,concealment,ethics,mental faculty & state,,
"There's husbandry in heaven, Their candles are all out. ","There's husbandry in heaven, Their candles are all out. ",0 1 0 1 0 1 0 0 1,economics,religion,fire,consumption,,,
"A heavy summons lies like lead upon me, And yet I would not sleep:","A heavy summons lies like lead upon me, And yet I would not sleep",0 1 1 0 0 1 0 0 0 0 0 0 0 1,weight,commands,materials,sleep,,,
"Being unprepared, Our will became the servant to defect; Which else should free have wrought.","Being unprepared, Our will became the servant to defect Which else should free have wrought.",0 1 0 1 0 0 1 0 1 0 0 0 1 0 1,mental faculty & state,social status,character traits & nature,social relation,labor,,
keep My bosom franchised,keep My bosom franchised,1 0 1 1,preservation,anatomy,politics,,,,
"Mine eyes are made the fools o' the other senses,","Mine eyes are made the fools o' the other senses,",0 1 0 0 0 1 0 0 0 1,anatomy,mental faculty & state,sensations,,,,
o'er the one halfworld Nature seems dead,o'er the one halfworld Nature seems dead,1 0 0 1 1 0 1,spatial,nature,death,,,,
wicked dreams abuse The curtain'd sleep;,wicked dreams abuse The curtain'd sleep,1 1 1 0 1 1,ethics,mental faculty & state,deception,concealment,sleep,,
"wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch,","wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch,",1 1 1 0 0 1 0 1 0 1 0 1,consumption,violence,military,animals,sounds,,
"thus with his [murder's] stealthy pace, With Tarquin's ravishing strides, towards his design Moves like a ghost. ","thus with his [murder's] stealthy pace, With Tarquin's ravishing strides, towards his design Moves like a ghost. ",0 0 1 1 0 1 0 1 1 1 0 0 1 1 0 0 1,violence,movement,historical,sexuality,mental faculty & state,mystical,
"earth, Hear not my steps, which way they walk, ","earth, Hear not my steps, which way they walk, ",1 1 0 0 1 0 1 0 1,nature,sensations,movement,spatial,,,
"for fear Thy very stones prate of my whereabout, And take the present horror from the time,","for fear Thy very stones prate of my whereabout, And take the present horror from the time,",0 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1,emotions,nature,language,spatial,privation,time,
Words to the heat of deeds too cold breath gives.,Words to the heat of deeds too cold breath gives.,1 0 0 1 0 1 0 1 1 0,language,temperature,physical activities,breathing,,,
it is a knell That summons thee to heaven or to hell.,it is a knell That summons thee to heaven or to hell.,0 0 0 1 0 1 0 0 1 0 0 1,music,commands,religion,,,,
What [the wine] hath quench'd them hath given me fire.,What [the wine] hath quench'd them hath given me fire.,0 0 1 0 1 0 0 0 0 1,food,consumption,fire,,,,
"the owl that shriek'd, the fatal bellman, Which gives the stern'st good-night.","the owl that shriek'd, the fatal bellman, Which gives the stern'st good night.",0 1 0 1 0 1 1 0 0 0 0 1 1,animals,sounds,death,greeting,,,
grooms Do mock their charge with snores: ,grooms Do mock their charge with snores ,1 0 1 0 1 0 1,social status,derision,labor,sleep,,,
"death and nature do contend about them, Whether they live or die.","death and nature do contend about them, Whether they live or die.",1 0 1 0 1 0 0 0 0 1 0 1,death,nature,violence,life,,,
with these hangman's hands.,with these hangman's hands.,0 0 1 1,death,anatomy,,,,,
Amen' Stuck in my throat.,Amen' Stuck in my throat.,1 1 0 0 1,religion,hindrance,anatomy,,,,
"murder sleep', the innocent sleep,","murder sleep', the innocent sleep,",1 1 1 1 1,violence,sleep,judiciary,,,,
"Sleep that knits up the ravelled sleave of care, ","Sleep that knits up the ravelled sleave of care, ",1 0 1 1 0 1 1 0 1,sleep,clothes,destruction,feelings,,,
"[sleep] The death of each day's life, ","[sleep] The death of each day's life, ",1 0 1 0 1 1 1,sleep,death,time,life,,,
"[sleep] sore labour's bath, ","[sleep] sore labour's bath, ",1 1 1 1,sleep,suffering,labor,cleaning,,,
"[sleep] Balm of hurt minds, ","[sleep] Balm of hurt minds, ",1 1 0 1 1,sleep,medicine,injuries,mental faculty & state,,,
"[sleep] great nature's second course, Chief nourisher in life's feast","[sleep] great nature's second course, Chief nourisher in life's feast",1 0 1 0 1 0 1 0 1 1,sleep,nature,food,life,,,
"murder'd sleep, ","murder'd sleep, ",1 1,violence,sleep,,,,,
wash this filthy witness from your hand.,wash this filthy witness from your hand.,1 0 1 1 0 0 1,cleaning,judiciary,anatomy,,,,
the sleeping and the dead Are but as pictures:,the sleeping and the dead Are but as pictures,0 1 0 0 1 0 0 0 1,sleep,death,art,,,,
tis the eye of childhood 'That fears a painted devil.,tis the eye of childhood 'That fears a painted devil.,0 0 1 0 1 0 1 1 1 1,anatomy,life's cycle,emotions,art,religion,,
"If he [the king] do bleed, I'll gild the faces of the grooms withal;","If he [the king] do bleed, I'll gild the faces of the grooms withal",0 1 0 1 0 1 0 1 0 1 0 0 1 0,politics,injuries,economics,anatomy,social status,,
What hands are here? ha! they pluck out mine eyes.,What hands are here? ha! they pluck out mine eyes.,0 1 0 0 0 0 1 0 0 1,anatomy,violence,,,,,
Will all great Neptune's ocean wash this blood Clean from my hand? ,Will all great Neptune's ocean wash this blood Clean from my hand? ,0 0 0 1 1 1 0 1 1 0 0 1,myth,nature,cleaning,anatomy,,,
"my hand will rather The multitudinous seas incarnadine, Making the green one red.","my hand will rather The multitudinous seas incarnadine, Making the green one red.",0 1 0 0 0 1 1 1 1 0 1 0 1,anatomy,spatial,nature,transformation,colors,,
I shame To wear a heart so white.,I shame To wear a heart so white.,0 1 0 1 0 1 0 1,emotions,clothes,anatomy,colors,,,
A little water clears us of this deed [murder]:,A little water clears us of this deed [murder],0 1 1 1 0 0 0 1 1,quantities,cleaning,judiciary,violence,,,
Your constancy Hath left you unattended.,Your constancy Hath left you unattended.,0 1 0 1 0 1,character traits & nature,privation,assistance,,,,
Be not lost So poorly in your thoughts.,Be not lost So poorly in your thoughts.,0 0 1 0 1 0 0 1,spatial,suffering,mental faculty & state,,,,
"here's an equivocator, that could swear in both the scales against either scale, who committed treason enough for God's sake, yet could not equivocate to heaven","here's an equivocator, that could swear in both the scales against either scale, who committed treason enough for God's sake, yet could not equivocate to heaven",0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1,language,weight,politics,religion,,,
"come in, tailor; here you may roast your goose.","come in, tailor here you may roast your goose.",0 0 1 0 0 0 1 0 1,clothes,food,animals,,,,
I'll [play] devil-porter it no further,I'll [play] devil porter it no further,0 1 1 1 0 0 0,theatre,religion,architecture,,,,
go the primrose way to the everlasting bonfire. ,go the primrose way to the everlasting bonfire. ,1 0 1 1 0 0 1 1,movement,nature,spatial,time,religion,,
"drink especially provoke? nose-painting,","drink especially provoke? nose painting,",1 0 0 1 1,food,anatomy,art,,,,
much drink may be said to be an equivocator with lechery:,much drink may be said to be an equivocator with lechery,0 1 0 0 0 0 0 0 1 0 1,food,language,sexuality,,,,
"[drink] equivocates him in a sleep, and, giving him the lie, leaves him. ","[drink] equivocates him in a sleep, and, giving him the lie, leaves him. ",1 1 0 0 0 1 0 0 0 0 1 1 0,food,language,sleep,sexuality,privation,,
"That it [drink] did [gave the lie], sir, i' the very throat on me:","That it [drink] did [gave the lie], sir, i' the very throat on me",0 1 1 0 0 0 1 0 0 0 0 1 0 0,food,sexuality,anatomy,,,,
