Play,Genre,Year,Playwright,Act & Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"If you [witches] can look into the seeds of time, And say which grain will grow and which will not,",mystical,sensations,agriculture,time,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"The earth hath bubbles, as the water has, And these [witches] are of them. ",nature,mystical,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,what seem'd corporal melted As breath into the wind. ,anatomy,consumption,breathing,nature,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,have we eaten on the insane root That takes the reason prisoner?,food,medicine,mental faculty & state,incarceration,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",ROSS,Male,His wonders and his praises do contend Which should be thine [military general] or his [the king's]:,religion,recognition,violence,military,politics,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",ROSS,Male,"every one did bear Thy praises in his kingdom's great defence, And [pour'd them down] before him.",labor,recognition,politics,military,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,The thane of Cawdor lives: why do you dress me In borrow'd robes?,social status,life,clothes,economics,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,Thanks for your pains.,recognition,suffering,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"That [prophesy], trusted home, Might yet enkindle you unto the crown,",mystical,mental faculty & state,domestic,fire,politics,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"to win us to our harm, The instruments of darkness tell us truths,",deception,violence,social relations,darkness,language,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"Two truths are told, As happy prologues to the swelling act Of the imperial theme.",language ,emotions,theatre,reproduction,politics,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature",social relations,mental faculty & state,anatomy,movement,feelings,violence,nature
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"My thought, whose murder yet is but fantastical, Shakes so my single state of man [self]",mental faculty & state,violence,politics,character traits & nature,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"function Is smother'd in surmise,",physical activities,violence,mental faculty & state,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"New honours come upon him, Like our strange garments, cleave not to their mould, But with the aid of use.",social status,mental faculty & state,clothes,adhesion,appearance,assistance,consumption
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,your pains Are register'd where every day I turn The leaf to read them. ,suffering,language,time,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,let us speak Our free hearts each to other.,language ,social relations,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MALCOLM,Male,nothing in his life Became him like the leaving [dying] it; ,privation,life,etiquette,death,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MALCOLM,Male,"he died As one that had been studied in his death, To throw away the dearest thing he owed, As 'twere a careless trifle.",death,education,privation,economics,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN,Male,The sin of my ingratitude even now Was heavy on me: ,religion,recognition,weight,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN,Male,swiftest wing of recompense is slow To overtake thee.,speed,animals,economics ,hunting,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,"The service and the loyalty I owe, In doing it, pays itself. ",devotion,economics ,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,"our duties Are to your throne and state, children and servants, Which [do but what they should], by doing everything Safe toward your love and honour.",devotion,politics,familial,social status,etiquette,emotions,recognition
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN,Male,"I [king] have begun to plant thee, and will labour To make thee full of growing.",agriculture,labor,politics,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN  ,Male,let me [king] enfold thee And hold thee to my heart. ,politics,affection,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",BANQUO,Male,"There [king's heart] if I grow, The harvest is your own.",politics,anatomy,agriculture,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN,Male,"My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow",emotions,joviality,concealment,anatomy,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN,Male,"But signs of nobleness, like stars, shall shine On all deservers.",language,character traits & nature,nature,light,recognition,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,"The Prince of Cumberland! that is a step On which I must fall down, or else o'erleap, for in my way it lies",politics,hindrance,physical activities,spatial ,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,"Stars, hide your fires;",nature,concealment,fire,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,Let not light see my black and deep desires:,resistance,light,sensations,colors,spatial,emotions,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,"The eye wink at the hand; yet let that be, Which the eye fears, when it [mruder] is done, to see.",anatomy,concealment,emotions,violence,sensations,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",DUNCAN,Male,"he is full so valiant, And in his commendations I am fed; It is a banquet to me.",character traits & nature,recognition,food,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female," I burned in desire to question them further,",fire,emotions,language,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"greatness is promised thee.  Lay it to thy heart,",social status,language,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,thy nature; It is too full o' the milk of human kindness To catch the nearest way,character traits & nature,food,humanity,hunting,spatial,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"wouldst not play false, And yet wouldst wrongly win:",games & sport,deception,ethics,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"that I may pour my spirits in thine ear,",medicine,mystical,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,And chastise with the valour of my tongue All that impedes thee from the golden round,ethics,character traits & nature,anatomy,hindrance,politics,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",Messenger,Male,"almost dead for breath, had scarcely more Than would make up his message.",death,breathing,quantities,language,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,The raven himself is hoarse That croaks the fatal entrance,animals,sounds,death,movement,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"unsex me here, And fill me from the crown to the toe top-full Of direst cruelty!",sexuality,anatomy,character traits & nature,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"my blood; Stop up the access and passage to remorse, ",anatomy,hindrance,spatial ,feelings,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"That no compunctious visitings of nature Shake my fell purpose, ",ethics,social relations,nature,violence,mental faculty & state,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"you murdering ministers, Wherever, in your sightless substances, You wait on nature's mischief.",violence,politics,sensations,materials,social relations,nature,ethics
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"Come, thick night, And pall thee in the dunnest smoke of hell, ",darkness,clothes,fire,religion,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"That my keen knife see not the wound it makes,",weapons,sensations,injuries,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!'",religion,sensations,sleep,darkness,sounds,hindrance,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"Thy letters have transported me beyond This ignorant present, ",language,movement,spatial ,mental faculty & state,time,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,I feel now The future in the instant.,feelings,time,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,never Shall sun that morrow see!,time,nature,sensations,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"Your face, my thane, is as a book where men May read [strange matters]. ",anatomy,language,mental faculty & state,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"To beguile the time, Look like the time; ",deception,time,appearance,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"welcome in your eye, Your hand, your tongue: ",ettiquette,anatomy,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"look like the innocent flower, But be the serpent under't. ",appearance,character traits & nature,nature,animals,spatial,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",BANQUO,Male,"This guest of summer, The temple-haunting martlet, ",social relations,nature,religion,accomodation,animals,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",BANQUO,Male,"[the martlet] does approve, By his loved mansionry, that the heaven's breath Smells wooingly here: ",animals,recognition,architecture,religion,breathing,sensations,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",DUNCAN,Male,"The love that follows us sometime is our trouble, Which still we thank as love. ",emotions,movement,time,suffering,recognition,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",DUNCAN,Male,"bid God yield us for your pains, And thank us for your trouble.",religion,economics,suffering,recognition,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",LADY MACBETH,Female,"All our service [to the king], In every point twice done and then done double Were poor and single business to contend Against those honours ",devotion,politics,quantities,labor,games & sports,recognition,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",LADY MACBETH,Female,"wherewith Your majesty loads our house: for those [honours] of old, And the late dignities heap'd up to them, We rest your hermits.",politics,economics,architecture,social status,recognition,religion,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",DUNCAN,Male,We coursed him at the heels,hunting,anatomy,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S6",DUNCAN,Male,"his great love, sharp as his spur, hath holp him",emotions,equestiran ,assistance,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male," if the assassination Could trammel up the consequence, and catch with his surcease, success",violence,hunting,judiciary,death,politics,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"upon this bank and shoal of time, We'd jump the life to come. ",nature,time,physical activities,religion,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"teach Bloody instructions, which, being taught, return To plague the inventor:",education,violence,medicine,discovering,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,this even-handed justice Commends the ingredients of our poison'd chalice To our own lips. ,anatomy,judiciary,medicine,materials,religion,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"his virtues Will plead like angels, trumpet-tongued, ",character traits & nature,judiciary,religion,music,anatomy,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"pity, like a naked new-born babe, Striding the blast,",emotions,clothes,life's cycle,movement,nature,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male," or [pity] heaven's cherubim, horsed Upon the sightless couriers of the air, ",emotions,religion,equestrian,appearance,nature,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"[pity] Shall blow the horrid deed [murder] in every eye, That tears shall drown the wind.",emotions,breathing,violence,anatomy,nature,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"I have no spur To prick the sides of my intent, but only Vaulting ambition, which o'erleaps itself And falls on the other.",equestrian ,mental faculty & state,character traits & nature,physical activities,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"I have bought Golden opinions from all sorts of people, Which would be worn now in their newest gloss",economics,recognition,clothes,light,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,Was the hope drunk Wherein you dress'd yourself?,emotions,mental faculty & state,clothes,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"hath it [hope] slept since? And wakes it now, to look so green and pale At what it did so freely?",emotions,sleep,sensations,colors,medicine,physical activities,social relations
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"Wouldst thou have that [the crown] Which thou esteem'st the ornament of life, And live a coward in thine own esteem,",politics,mental faculty & state,art,life,character traits & nature,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"['I dare not'] wait upon 'I would,' Like the poor cat i' the adage",emotions,social relations,mental faculty & state,animals,language,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"What beast was't, then, That made you break this enterprise [violent plan] to me?",animals,violence,language,violence,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"screw your courage to the sticking-place,",violecnce,character traits & nature,spatial ,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"with wine and wassail so convince, That memory, the warder of the brain, Shall be a fume, and the receipt of reason A limbeck only.",food,mental faculty & state,incarceration,anatomy,alchemy,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"in swinish sleep Their drenched natures lie as in a death,",animals,sleep,food,character traits & nature,death,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,mock the time with fairest show:,deception,time,appearance,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,False face must hide what the false heart doth know.,deception,anatomy,concealment,ethics,mental faculty & state,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",BANQUO,Male,"There's husbandry in heaven, Their candles are all out. ",economics,religion,fire,consumption,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",BANQUO,Male,"A heavy summons lies like lead upon me, And yet I would not sleep:",weight,commands,materials,sleep,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,"Being unprepared, Our will became the servant to defect; Which else should free have wrought.",mental faculty & state,social status,character traits & nature,social relation,labor,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",BANQUO,Male, keep My bosom franchised,preservation,anatomy,politics,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,"Mine eyes are made the fools o' the other senses,",anatomy,mental faculty & state,sensations,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,o'er the one halfworld Nature seems dead,spatial,nature,death,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,wicked dreams abuse The curtain'd sleep;,ethics,mental faculty & state,deception,concealment,sleep,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,"wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch,",consumption,violence,military,animals,sounds,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male," thus with his [murder's] stealthy pace, With Tarquin's ravishing strides, towards his design Moves like a ghost. ",violence,movement,historical,sexuality,mental faculty & state,mystical,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,"earth, Hear not my steps, which way they walk, ",nature,sensations,movement,spatial,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,"for fear Thy very stones prate of my whereabout, And take the present horror from the time,",emotions,nature,language,spatial,privation,time,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,Words to the heat of deeds too cold breath gives.,language,temperature,physical activities,breathing,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,it is a knell That summons thee to heaven or to hell.,music,commands,religion,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,What [the wine] hath quench'd them hath given me fire.,food,consumption,fire,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,"the owl that shriek'd, the fatal bellman, Which gives the stern'st good-night.",animals,sounds,death,greeting,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,grooms Do mock their charge with snores: ,social status,derision,labor,sleep,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,"death and nature do contend about them, Whether they live or die.",death,nature,violence,life,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,with these hangman's hands.,death,anatomy,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,Amen' Stuck in my throat.,religion,hindrance,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"murder sleep', the innocent sleep,",violence,sleep,judiciary,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"Sleep that knits up the ravelled sleave of care, ",sleep,clothes,destruction,feelings,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"[sleep] The death of each day's life, ",sleep,death,time,life,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"[sleep] sore labour's bath, ",sleep,suffering,labor,cleaning,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"[sleep] Balm of hurt minds, ",sleep,medicine,injuries,mental faculty & state,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"[sleep] great nature's second course, Chief nourisher in life's feast,-",sleep,nature,food,life,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"murder'd sleep, ",violence,sleep,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,wash this filthy witness from your hand.,cleaning,judiciary,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,the sleeping and the dead Are but as pictures:,sleep,death,art,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,tis the eye of childhood 'That fears a painted devil.,anatomy,life's cycle,emotions,art,religion,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,"If he [the king] do bleed, I'll gild the faces of the grooms withal;",politics,injuries,economics ,anatomy,social status,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,What hands are here? ha! they pluck out mine eyes.,anatomy,violence,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,Will all great Neptune's ocean wash this blood Clean from my hand? ,myth,nature,cleaning,anatomy,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"my hand will rather The multitudinous seas incarnadine, Making the green one red.",anatomy,spatial,nature,transformation,colors,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female, I shame To wear a heart so white.,emotions,clothes,anatomy,colors,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,A little water clears us of this deed [murder]:,quantities,cleaning,judiciary,violence,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,Your constancy Hath left you unattended.,character traits & nature,privation,assistance,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,Be not lost So poorly in your thoughts.,spatial,suffering,mental faculty & state,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,"here's an equivocator, that could swear in both the scales against either scale, who committed treason enough for God's sake, yet could not equivocate to heaven",language,weight,politics,religion,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,"come in, tailor; here you may roast your goose.",clothes,food,animals,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male, I'll [play] devil-porter it no further,theatre,religion,architecture,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,go the primrose way to the everlasting bonfire. ,movement,nature,spatial ,time,religion,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,"drink especially provoke? nose-painting,",food,anatomy ,art,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,much drink may be said to be an equivocator with lechery:,food,language,sexuality,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,"[drink] equivocates him in a sleep, and, giving him the lie, leaves him. ",food,language,sleep,sexuality,privation,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,"That it [drink] did [gave the lie], sir, i' the very throat on me:",food,sexuality,anatomy,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",Porter,Male,"though he [drink] took up my legs sometime, yet I made a shift to cast him.",food,games & sport,anatomy,movement,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,a joyful trouble,emotions,suffering,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACBETH,Male,The labour we delight in physics pain.,labor,feelings,medicine,suffering,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",LENNOX,Male,"Lamentings heard i' the air; strange screams of death, ",emotions,sensations,nature,mental faculty & state,sounds,death,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",LENNOX,Male,"[Lamentings] And prophesying with accents terrible, ",emotions,mystical,language,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",LENNOX,Male,Of dire combustion and confused events New hatch'd to the woeful time.,fire,mental faculty & state,animals,emotions,time,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",LENNOX,Male,the earth Was feverous and did shake.,nature,medicine,violence,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,Tongue nor heart Cannot conceive nor name thee [horror]!,anatomy,language,mental faculty & state,emotions,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,Confusion now hath made his masterpiece!,mental faculty & state,art,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"Most sacrilegious murder hath broke ope The Lord's anointed temple, ",religion,violence,spatial ,architecture,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,and [murder]  stole thence The life o' the building!,violence,economics,life,architecture,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,destroy your sight With a new Gorgon: ,destruction,sensations,myth,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"Shake off this downy sleep, death's counterfeit,",violence,sleep,death,deception,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"up, up, and see The great doom's image",sleep,sensations,religion,art,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"As from your graves rise up, and walk like sprites, To countenance this horror",death,sleep,movement,mystical,etiquette,emotions,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"The repetition, in a woman's ear, Would murder as it fell.",language,women ,anatomy,violence,,,
