Play,Genre,Year,Playwright,Act & Scene,Character ,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5 - Notes,Topic 6,Topic 7
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"I know my presence and accesse, Cleers all these mists which they haue raisd before: Though with my back streight turnes that happinesse.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,And they againe blow vp as much or more;,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"Thus do we role the stone of our owne toyle, Thus do we role the stone of our owne toyle,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,O heauenly powres aboue Forbid that such a thought should issue out Of this confused brest: ,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"But out alas this inconsidrate tongue, Without my hart's consent and priuitie, Hath done already this vnwilling wrong,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"that tongue That thus hath beene the traytor to my hart, Shall either powrefully redeeme that wrong, Or neuer more shall words of breath impart,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"Let not thy hart Seeme to be accessarie in a thought,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"This act may yet put on so fayre a coate Vpon my foule profession, as it may Not blush t'appeare with those of cleanest note, And haue as hye a place with fame as they.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"do I not see This faction of my flesh, my feares, my youth Already entred and haue bent at me, The ioyes of life to batter downe my truth.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"To let in feare and falshood, to my hart.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"Whose trauails no Herculean pillor stayes, But still beyond thy rest thy labors tend.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"Aboue good fortune, thou thy hopes dost raise, Still climing and yet neuer canst ascend:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"it doth cost far more adoo to hold, The higth attaind, then was to get so hie.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"thou struggle with thine owne distrust And others iealosies,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,wrong is paid with wrong,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"The same concussion doth afflict his brest That others shooke,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"either happines dwells not so hie, Or els aboue. whereto pride cannot rise:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male," that the hy'st of mans felicity, But in the region of affliction lies: And that we clime but vp to misery,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"It is not in that Sphere, where peace doth moue, Rest dwels below it, happines aboue.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"For in this hight of fortvne are imbred, Those thundring fragors that affright the earth.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"From thence [hight of fortune] haue all distempratures their head:That bringes forth desolation, famine, dearth, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,there [hight of fortune] it is confusion hath her birth.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"Is't not some vaine report borne without cause, That enuie or imagination drawes That enuie or imagination drawes",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"my fauours had deseru'd, And ought t'haue claym'd more duly at his hands Then any of the rest.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"that we call vp men from of below: From th'Element of baser property,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"Where se'ing those rayes, which being sent far off, Reflect a heat of wonder and respect,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"Within the selfe same orbe of rule with vs, Their light would shine alone if ours were set, And so presume t'obscure or shadow vs.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"But he shall know although his neerenes hath, Not felt our heat that we can burne him too.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,And grace that shines can kindle vnto wrath:,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"now hath death, Shut vs cleene out from knowing him within: And lockt vp in his brest all th'others harts,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"Renouned prince, for that my hart is cleare, Amazement cannot ouercast my face,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"such as rather would let out their owne Hart bloud,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,(For which I rather tooke the baite was laide: Then els for any treachery at all.),,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"I thought the safest way, To smoother it a while, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"Protesting that mine owne vnspotted thought A like beliefe of others truth did breed,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"O dread Sou'raigne do not way Philotas faith by this his ouer-sight. But by his actions past,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"O sacred hand the witnesse of my life, By thee I hold my safetie as secure, As is my conscience free from treacherie.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"by arte His lookes stand newtrall, seeming not to hold Respondencie of int'rest with his hart.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"he hath dissolu'd the knot Of my suspition, with so cleere a hand,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,"danger from weake natures neuer growes,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,Who must disturb the world are built therefore.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,"Presumption of mens powres as well may breed Assurednesse, as innocency may:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,"mischiefe seldome but by trust doth speed,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,"more their suffrings then their mercie taste,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,"Know that a man so swolne with discontent, No grace can cure nor pardon can restore:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Craterus,Male,"He knowes how those who once haue mercie spent, Can neuer hope to haue it any more.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"That it may seeme we weigh this practise light, How euer heauy, here within it lies.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,for we see Wiser then we do lay their heads to gage For ryotous expences of their tongues,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,"And tis the Scene on this worlds stage we play, Whose reuolution, we with men conuert, And are to act our parte as well as they:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,"For this great motion of a state we see, Doth turne on many wheeles, and some though smale Do yet the greater moue, who in degree Stirre those who likewise turne the great'st of all.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Antigona,Female,"you haue made mee doo, That which must euer more aflict my hart,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,thy accusation did but quote The margin of some text of greater note.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,"those who seeke T'attack the Lyon, so prouide that still, Their toyles be such as that he shall not skape To turne his rage on those that wrought his ill.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,"But malice ouerlookt him, and discride, Where he lay weake, where was his vanity, And built her contermonts vpon that side, In such sorte as they would be sure to raze His fortunes with the ingins of disgrace.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Thais,Female,Tis vaine I see to learne an Asian wit.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 2",Antigona,Female,Let me record the heauy notes of mone.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"For now hath time discride, An open passage to his farthest ends,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"I did both breed, And vrge these doubts out of a priuate griefe.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"I know I might with much more ease, Sit still like others, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"the faith the duty and respect: We owe both to our soueraigne and the state,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"vnles this be the time, You will apply your phisicke after death.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Clitus,Male,"For treason taken ere the birth, doth come Abortiue, and her wombe, is made her tombe",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"The force of malice, nor how far is spred Already the contagion of this ill.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Craterus,Male,"That one must be Philotas from whose head All this corruption flowes, take him, take all.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Chorus,Male,"SEE how these greatmen cloth their priuate hate, In those faire coulours of the publique good:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Chorus,Male,"And arm'd with powre and princes iealosies,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Chorus,Male,"valour, honor bounty shall be made, As accessaries vnto endes vniust:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Chorus,Male,"Suspicion full of eyes, and full of eares, Doth thorow the tincture of her owne conceipt, See all thinges in the coulours of her feares:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Chorus,Male,"truth it selfe must look like to deceipt,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 3",Chorus,Male,"The common wealth into combustion drawes, As if ordaind t'imbroyle the world with wit,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Attarras,Male,it was breeding long though suddenly This thunder-crack comes but to break out now.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Sostratus & Attarras,Male,Can such stormes grow and yet no clouds appeare? - Yea court stormes grow when skies there seeme most cleare,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Attarras,Male,The blackest howre of darknesse and of sleepe,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Attarras,Male,"Now to make feare looke with more hidious face,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Attarras,Male,Found him imburied in the soundest sleepe,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Sostratus,Male,"can treason sleepe so sound? Will that lowd hand of Horror that still beats, Vpon the guilty conscience of distrust: Permit it t'haue so resolute a rest?",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Attarras,Male,"Looking on that base furniture of shame,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 1",Sostratus,Male,"Well then I see who are so high aboue, Are nere to lightning that are nere to Ioue.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 4, S 2",Alexander,Male,the foulnesse of their practise now Blots out all memory of what they were,,,,,,,
